Myanmar,8/25/2020,0.56327,0.55411,0.54379,0.52011,0.49915,0.49471,0.48979,0.47543,0.47897,0.47633,0.4825,0.45724,0.4899,0.49227,0.50191,0.50245,0.50781,0.51476,0.51487,0.52056,0.52363,0.52888,0.5341,0.5396,0.54561,0.55538,0.56081,0.57037,0.57798,0.58508
Namibia,7/7/2020,0.55306,0.53198,0.50337,0.49116,0.48424,0.47796,0.48007,0.48503,0.4947,0.50725,0.52045,0.49218,0.55688,0.5626,0.577,0.58351,0.59577,0.59601,0.60696,0.60974,0.60946,0.60961,0.60871,0.60261,0.59737,0.5866,0.57489,0.56787,0.5574,0.54162
Nepal,5/22/2020,0.60543,0.5844,0.57342,0.55879,0.55124,0.55035,0.55452,0.55832,0.57234,0.58405,0.59848,0.59126,0.62889,0.6382,0.65069,0.66013,0.66651,0.67131,0.67597,0.67955,0.68555,0.69014,0.69618,0.70256,0.71027,0.71848,0.72566,0.7329,0.73907,0.74901
Netherlands,3/11/2020,0.54904,0.52944,0.51271,0.5019,0.49573,0.49624,0.50029,0.50723,0.51877,0.53447,0.55339,0.55012,0.5949,0.61811,0.63764,0.65644,0.67418,0.69024,0.70503,0.71839,0.73005,0.74043,0.74786,0.7546,0.76195,0.76835,0.77576,0.78274,0.78959,0.79604
New Zealand,3/29/2020,0.6571,0.65129,0.64985,0.65239,0.66051,0.67402,0.69149,0.714,0.7397,0.76819,0.7973,0.75747,0.88878,0.9039,0.9244,0.94714,0.9479,0.96058,0.96746,0.94992,0.94621,0.94782,0.93914,0.95104,0.94153,0.93626,0.93856,0.93756,0.93844,0.9353
Nicaragua,5/26/2020,0.58022,0.61299,0.59846,0.58887,0.58458,0.58575,0.59235,0.56257,0.59116,0.5987,0.60627,0.57975,0.62429,0.62982,0.59529,0.61357,0.61152,0.61053,0.63927,0.60829,0.61831,0.59013,0.61831,0.62676,0.63636,0.67205,0.65297,0.66931,0.65268,0.68044
Niger,4/12/2020,0.56989,0.56704,0.56032,0.56211,0.56411,0.568,0.57594,0.57924,0.59027,0.59235,0.59233,0.5045,0.58501,0.57707,0.53283,0.48943,0.47112,0.4191,0.37265,0.33304,0.30722,0.26249,0.24137,0.2197,0.20031,0.20382,0.19415,0.21244,0.2332,0.25838
Nigeria,4/18/2020,0.63996,0.62762,0.61019,0.60317,0.59413,0.58296,0.57936,0.58347,0.58786,0.5953,0.60718,0.5953,0.63524,0.64603,0.6609,0.67484,0.68819,0.70177,0.71374,0.72447,0.73535,0.74501,0.75041,0.75575,0.75854,0.7584,0.76114,0.76068,0.75781,0.7604
North Macedonia,4/5/2020,0.61008,0.59412,0.58096,0.56775,0.56059,0.56263,0.56809,0.58355,0.60399,0.6274,0.65422,0.63538,0.71623,0.74004,0.75641,0.7727,0.78161,0.78708,0.78957,0.78781,0.78939,0.79177,0.79411,0.779,0.77431,0.75951,0.74566,0.72852,0.71389,0.69817
Norway,3/11/2020,0.56472,0.54361,0.52184,0.51194,0.5008,0.49794,0.49646,0.5001,0.5074,0.52152,0.5394,0.52626,0.58795,0.6114,0.63416,0.65625,0.6789,0.70138,0.72141,0.74393,0.76387,0.78104,0.79742,0.81388,0.82637,0.83883,0.84902,0.85938,0.85828,0.8633
Oman,4/11/2020,0.60816,0.59815,0.59302,0.58677,0.58201,0.5882,0.59435,0.60849,0.62117,0.63802,0.65377,0.62815,0.69244,0.70057,0.70644,0.70788,0.70816,0.70483,0.69583,0.68368,0.67337,0.65325,0.64411,0.62933,0.6132,0.59979,0.58982,0.57971,0.57416,0.57087
Pakistan,3/19/2020,0.57775,0.56803,0.53969,0.50844,0.50338,0.49271,0.4849,0.48215,0.48044,0.48764,0.49656,0.47756,0.52466,0.53475,0.55789,0.56504,0.57363,0.59256,0.58371,0.59034,0.58023,0.57663,0.56976,0.5633,0.55818,0.55225,0.54684,0.54391,0.54486,0.54651
Panama,3/26/2020,0.70018,0.69051,0.67986,0.66946,0.66557,0.66541,0.66607,0.6688,0.6736,0.68367,0.69776,0.68539,0.72747,0.74056,0.74926,0.76153,0.77165,0.77554,0.78247,0.79015,0.78861,0.79155,0.79354,0.79157,0.7981,0.80173,0.80182,0.80634,0.81167,0.81463
Paraguay,5/8/2020,0.60168,0.58666,0.57911,0.57932,0.573,0.576,0.57508,0.57862,0.56592,0.57205,0.57357,0.47893,0.58799,0.52256,0.49536,0.46948,0.42442,0.41265,0.37899,0.37467,0.3587,0.35484,0.3733,0.36239,0.3785,0.39211,0.41095,0.4204,0.43904,0.45318
Peru,3/26/2020,0.6924,0.67273,0.64093,0.62124,0.57795,0.57715,0.5623,0.56073,0.56598,0.57652,0.59002,0.59559,0.62807,0.64834,0.66696,0.68767,0.69412,0.70867,0.7203,0.72458,0.72778,0.72949,0.72825,0.73099,0.73086,0.73445,0.73389,0.73771,0.74159,0.74852
